GY,Channel Islands
JE,Channel Islands
CB,East England
CM,East England
CO,East England
IP,East England
LN,East England
NR,East England
PE,East England
SS,East England
DE,East Midlands
LE,East Midlands
NG,East Midlands
NN,East Midlands
BR,Greater London
CR,Greater London
DA,Greater London
E,Greater London
EC,Greater London
EN,Greater London
HA,Greater London
IG,Greater London
KT,Greater London
N,Greater London
NW,Greater London
RM,Greater London
SE,Greater London
SM,Greater London
SW,Greater London
TW,Greater London
UB,Greater London
W,Greater London
WC,Greater London
WD,Greater London
AL,Home Counties
HP,Home Counties
LU,Home Counties
MK,Home Counties
OX,Home Counties
RG,Home Counties
SG,Home Counties
SL,Home Counties
(N/A),Northern Ireland
DH,North East
DL,North East
NE,North East
SR,North East
TS,North East
BB,North West
BD,North West
BL,North West
CA,North West
CH,North West
CW,North West
FY,North West
HD,North West
HX,North West
IM,North West
L,North West
LA,North West
M,North West
OL,North West
PR,North West
SK,North West
WA,North West
WN,North West
BT,Northern Ireland
AB,Scotland (North)
DD,Scotland (North)
HS,Scotland (North)
IV,Scotland (North)
KW,Scotland (North)
PA,Scotland (North)
PH,Scotland (North)
ZE,Scotland (North)
DG,Scotland (South & Central)
EH,Scotland (South & Central)
FK,Scotland (South & Central)
G,Scotland (South & Central)
KA,Scotland (South & Central)
KY,Scotland (South & Central)
ML,Scotland (South & Central)
TD,Scotland (South & Central)
BN,South East
CT,South East
GU,South East
ME,South East
PO,South East
RH,South East
SO,South East
TN,South East
BA,South West
BH,South West
BS,South West
DT,South West
EX,South West
GL,South West
PL,South West
SN,South West
SP,South West
TA,South West
TQ,South West
TR,South West
LL,Wales (North)
SY,Wales (North)
CF,Wales (South)
LD,Wales (South)
NP,Wales (South)
SA,Wales (South)
B,West Midlands
CV,West Midlands
DY,West Midlands
HR,West Midlands
ST,West Midlands
TF,West Midlands
WR,West Midlands
WS,West Midlands
WV,West Midlands
DN,Yorkshire & Humberside
HG,Yorkshire & Humberside
HU,Yorkshire & Humberside
LS,Yorkshire & Humberside
S,Yorkshire & Humberside
WF,Yorkshire & Humberside
YO,Yorkshire & Humberside
